"","HTP","CH Haguenau","CH Colmar","CH Mulhouse","CH Belfort","CH Epinal","Bar-le-Duc","CH Forbach","CH Metz (Mercy)","CHU Nancy (Central)"
"Bourbach-le-Haut",92.2,111,47.2,32.5,33.2,82.7,177.7,156,159,121.5
"Bouxwiller",94.3,113.2,55.9,38.3,53,118.1,213.1,158.1,178.9,156.9
"Bréchaumont",88.5,107.3,45.3,28.7,21,93.7,188.7,152.3,170,132.5
"Bretten",82.2,101,39,22.5,19.8,90.7,185.7,146,166.8,129.5
"Buethwiller",85.2,104.1,43.5,25.5,27.8,95.1,190.2,149,169.8,134
"Carspach",89.9,108.8,48.8,22,34.3,100.4,195.5,153.7,174.5,139.3
"Chavannes-sur-l'Etang",94.8,113.7,51.8,35.1,16.9,90.1,185.2,158.6,166.4,128.9
"Courtavon",110.9,129.7,72.5,47.6,45.1,110.2,205.2,174.7,186.5,149
"Dannemarie",88.2,107,46.4,27.5,27.1,98.1,193.1,152,172.8,136.9
"Diefmatten",80.1,99,36.6,20.4,18.1,88.2,183.3,143.9,164.5,127
"Dolleren",97.7,116.6,52.8,38.1,33.3,69,164,161.6,145.2,107.8
"Durlinsdorf",105.9,124.7,67.5,40.1,47.8,112.9,207.9,169.7,189.2,151.7
"Durmenach",96.5,115.3,58.1,34.9,50.3,116.4,211.5,160.3,181,155.3
"Eglingen",83.5,102.4,41.8,22.4,27.3,93.5,188.5,147.4,168.1,132.3
"Elbach",94.1,112.9,52.3,33.3,24.2,96.9,191.9,157.9,173.2,135.7
"Emlingen",89.5,108.3,51.1,18.9,38.7,104.2,199.2,153.3,174,143
"Eteimbes",84.1,103,41,24.4,21.3,91.9,186.9,148,168.2,130.7
"Falkwiller",82.6,101.4,39,22.8,20.6,90.7,185.7,146.4,167,129.5
"Feldbach",98.5,117.4,60.1,30.6,44,109.1,204.1,162.3,183.1,147.9
"Fellering",93.4,112.2,48.4,35.7,42.9,61.7,156.8,157.2,138,100.6
"Ferrette",100.6,119.5,62.2,37.8,51.2,116.3,211.4,164.4,185.2,155.1
"Fislis",96.2,115,57.8,40.7,55.4,120.4,215.5,160,180.7,159.2
"Franken",88.3,107.2,49.9,26.5,43.8,109.3,204.3,152.1,172.9,148.1
"Friesen",101.1,119.9,59.3,34.7,35.5,103.8,198.8,164.9,180.1,142.6
"Froeningen",77.8,96.7,39.4,12.7,30.1,92.5,187.6,141.6,162.4,131.4
"Fulleren",96.7,115.6,55,30,32.8,106,201,160.6,181.3,144.8
"Geishouse",93.9,112.8,49,36.2,43.4,73.1,168.2,157.7,149.4,112
"Gommersdorf",88.2,107,46.4,27.5,27.1,98.1,193.1,152,172.8,136.9
"Grentzingen",96.3,115.2,57.9,28.4,43.8,110,205,160.1,180.9,148.8
"Guevenatten",84.9,103.8,41.8,25.2,22.5,93.4,188.5,148.8,169.5,132.3
"Guewenheim",81.6,100.5,36.7,22,24.3,85.4,180.5,145.4,161.7,124.2
"Hagenbach",85,103.9,43.3,25.3,28.3,94.9,190,148.8,169.6,133.8
"Hausgauen",90.6,109.4,52.2,25.2,42.4,107.9,202.9,154.4,175.1,146.7
"Hecken",82.6,101.4,39,22.8,20.6,90.7,185.7,146.4,167,129.5
"Heidwiller",82.7,101.5,44.3,14.8,31.5,97.4,192.5,146.5,167.3,136.2
"Heimersdorf",94.6,113.4,56.2,26.7,42.1,108.2,203.2,158.4,179.1,147
"Heiwiller",89.5,108.3,51.1,21.6,38.7,104.2,199.2,153.3,174.1,143
"Henflingen",96.3,115.2,57.9,28.4,43.8,110,205,160.1,180.9,148.8
"Hindlingen",101.8,120.7,60.1,38.3,36.3,107.3,202.4,165.6,183.6,146.2
"Hirsingue",92.2,111,53.8,24.3,39.7,105.8,200.8,156,176.7,144.6
"Hirtzbach",91.5,110.3,51.7,23.6,37.3,103.4,198.4,155.3,176.1,142.2
"Hochstatt",73.4,92.3,35.1,8.4,26,88.2,183.2,137.3,158,127
"Hundsbach",90.6,109.4,52.2,25.2,42.4,107.9,202.9,154.4,175.1,146.7
"Husseren-Wesserling",92.4,111.3,47.5,34.7,41.9,62.4,157.5,156.2,138.7,101.2
"Illfurth",81.7,100.5,43.3,13.8,31.9,96.4,191.4,145.5,166.2,135.2
"Jettingen",86.5,105.4,48.1,27.3,45.4,110.9,205.9,150.3,171.1,149.7
"Kiffis",113.1,132,74.8,55.2,56.3,121.4,216.5,177,197.7,160.2
"Kirchberg",94.6,113.5,49.7,35,30.2,72.2,167.3,158.5,148.5,111
"Koestlach",101.9,120.8,63.5,38,49,114.1,209.2,165.7,186.5,152.9
"Kruth",97.6,116.5,52.7,40,47.1,60,155,161.5,136.2,98.8
"Largitzen",99.8,118.7,60.6,31.9,40.9,107,202,163.6,183.2,145.8
"Lauw",87.4,106.3,42.5,27.8,22.6,80.5,175.5,151.2,156.8,119.3
"Leimbach",80.2,99,35.2,22.5,29.7,75.7,170.7,144,152,114.5
"Levoncourt",109.2,128.1,70.9,48.4,46.8,111.8,206.9,173.1,188.1,150.7
"Liebsdorf",107.8,126.7,69.5,47,49.4,114.4,209.5,171.7,190.7,153.3
"Ligsdorf",102.2,121,63.8,41.3,54.3,119.3,214.4,166,186.8,158.2
"Linsdorf",96.1,114.9,57.7,41.2,56.6,122.7,217.7,159.9,180.7,161.5
"Luemschwiller",88.8,107.7,50.5,17.5,41.7,107.2,202.2,152.7,173.4,146
"Lutter",99.4,118.2,61,44.9,60.3,125.4,220.4,163.2,184,164.2
"Magny",97.4,116.3,55.7,36.6,23.2,94.6,189.6,161.2,170.8,133.4
"Malmerspach",88.4,107.3,43.5,30.7,37.9,65.5,160.5,152.2,141.7,104.3
"Manspach",91.6,110.5,49.9,30.8,26.1,99.3,194.3,155.5,175.6,138.1
"Masevaux",90,108.8,45,30.3,25.6,76.4,171.4,153.8,152.7,115.2
"Mertzen",98.1,117,56.4,34.8,32.6,104.6,199.6,161.9,180.9,143.4
"Michelbach",78.9,97.8,34,21.2,26.3,79.9,174.9,142.7,156.2,118.7
"Mitzach",94.2,113,49.2,36.5,43.7,67.8,162.9,158,144.1,106.6
"Moernach",104.1,122.9,65.7,36.8,46.4,111.5,206.6,167.9,187.8,150.3
"Mollau",96.1,115,51.2,38.4,45.6,62.6,157.6,159.9,138.9,101.4
"Montreux-Jeune",97.5,116.4,56.2,37.8,19.6,92.8,187.9,161.3,169.1,131.6
"Montreux-Vieux",97.5,116.4,56.2,37.8,19.6,92.8,187.9,161.3,169.1,131.6
"Moosch",88.4,107.3,43.5,30.7,37.9,65.5,160.5,152.2,141.7,104.3
"Mortzwiller",87.3,106.2,42.4,27.7,24.1,80.4,175.4,151.2,156.7,119.2
"Muespach-le-Haut",86.7,105.6,48.4,32,52.9,115.7,208.8,150.6,171.3,153.9
"Niederbruck",92.5,111.4,47.6,32.9,28.1,74,169.1,156.3,150.3,112.9
"Oberbruck",95.5,114.3,50.5,35.8,31,73.2,168.3,159.3,149.5,112
"Oberdorf",97.7,116.5,59.3,30.4,45.8,111.9,207,161.5,182.2,150.7
"Oberlarg",107.1,126,68.7,46.3,49.6,114.6,209.7,170.9,190.9,153.5
"Obermorschwiller",86.9,105.8,48.5,15.6,42,105.6,200.6,150.7,171.5,144.4
"Oderen",96.9,115.8,52,39.2,46.4,64.6,159.6,160.8,140.8,103.4
"Oltingue",96.8,115.7,58.5,42.3,59.7,125.5,218.9,160.7,181.4,164
"Pfetterhouse",109.6,128.4,70.6,41.7,37.4,102.5,197.5,173.4,178.7,141.3
"Raedersdorf",100.3,119.1,61.9,45.5,58.9,124,219,164.1,184.8,162.8
"Rammersmatt",84.9,103.7,39.9,27.2,33.6,81.1,176.2,148.7,157.4,119.9
"Ranspach",91.2,110.1,46.3,33.5,40.7,63.7,158.7,155,139.9,102.5
"Retzwiller",89.9,108.8,48.2,29.2,22.5,95.7,190.7,153.8,171.9,134.5
"Riespach",100.1,119,61.7,33.5,46.9,112,207,163.9,184.7,150.8
"Rimbach-près-Masevaux",100.7,119.5,55.7,41,36.2,74.3,169.3,164.5,150.5,113.1
"Roderen",83.8,102.6,38.8,26.1,30.6,80.8,175.9,147.6,157.1,119.7
"Romagny",96,114.8,54.2,35.1,24.4,97.6,192.6,159.8,173.9,136.4
"Roppentzwiller",94.2,113,55.8,32.6,48,114.1,209.2,158,178.8,153
"Ruederbach",97,115.9,58.6,29.1,44.5,110.6,205.7,160.8,181.6,149.5
"Saint-Amarin",91.2,110.1,46.3,33.5,40.7,63.7,158.7,155,139.9,102.5
"Saint-Cosme",85.4,104.2,42.2,25.6,19.6,92.3,187.3,149.2,168.6,131.1
"Saint-Ulrich",94.3,113.2,52.6,33.5,28.8,102,197,158.1,178.2,140.8
"Schwoben",88.4,107.3,50,20.5,37.6,103.1,198.2,152.2,173,142
"Sentheim",89.7,108.6,44.8,30.1,32,89.3,184.3,153.5,165.6,128.1
"Seppois-le-Bas",102.3,121.2,62.4,34.4,36.7,101.8,196.8,166.2,178,140.6
"Seppois-le-Haut",105.8,124.7,66.8,37.9,38.5,103.6,198.6,169.6,179.9,142.4
"Sewen",100.9,119.8,56,41.3,36.5,67.7,162.7,164.7,144,106.5
"Sickert",91.6,110.4,46.6,31.9,27.1,74.9,169.9,155.4,151.1,113.7
"Sondersdorf",102,120.8,63.6,41.1,54.5,119.6,214.6,165.8,186.6,158.4
"Soppe-le-Bas",80.5,99.4,37.4,20.8,18.1,89,184.1,144.4,165.1,127.9
"Soppe-le-Haut",83.6,102.5,40.1,23.9,20.9,86.7,181.7,147.4,163,125.5
