,X,HTP,CH_Haguenau,CH_Colmar,CH_Mulhouse,CH_Belfort,CH_Epinal,Bar_le_Duc,CH_Forbach,CH_Metz__Mercy_,CHU_Nancy__Central_,choix1,choix2,choix3
660,STEINBRUNN-LE-HAUT,"82,8","102,3","44,2","10,1","39,2","101,6","196,5","145,4","166,2","140,5","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
373,STEINSELTZ,"51,4",33,"97,5","120,4","138,4","149,8","176,3","92,2","114,6","121,5","CH,Haguenau",HTP,HTP
168,STEINSOULTZ,"94,2","113,7","55,6","33,5","48,7",115,210,"156,8","177,7","153,8","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
351,STERNENBERG,"84,2","103,7",39,"24,2","20,7","90,9","185,9","146,8","167,1","129,8","CH,Belfort","CH,Belfort","CH,Mulhouse"
29,STETTEN,"80,4","99,9",42,"18,1","46,6","109,4","202,4",143,"163,8","147,7","CH,Mulhouse","CH,Mulhouse","CH,Colmar"
547,STILL,"27,6","47,2","46,8","70,1","88,2","105,4","158,6","76,1","96,9","103,8",HTP,HTP,"CH,Colmar"
454,STORCKENSOHN,"95,3","114,9",50,"37,2","44,5","59,1","154,1","157,9","135,3",98,"CH,Mulhouse","CH,Mulhouse","CH,Belfort"
407,STOSSWIHR,"67,3","86,9","20,9","51,6","63,6","68,6","163,1","129,9","144,4",107,"CH,Colmar","CH,Colmar","CH,Mulhouse"
77,STOTZHEIM,"27,3","46,9","33,9","57,1","75,1",103,168,"89,9","110,7","113,2",HTP,HTP,"CH,Colmar"
219,STRASBOURG,"5,7","25,2","49,1","72,5","90,5","118,4","155,2","72,8","93,6","100,5",HTP,HTP,"CH,Haguenau"
189,STRUETH,"97,3","116,9","55,5","34,1","31,7","103,8","198,7","159,9","180,1","142,7","CH,Belfort","CH,Belfort","CH,Mulhouse"
257,STRUTH,"53,6",49,97,"120,4","138,4","115,7","142,1","48,4","69,1","87,4","CH,Forbach","CH,Forbach","CH,Haguenau"
877,STUNDWILLER,"42,4","28,7","88,5","108,1","126,1","145,6","172,1","89,6","110,3","117,2","CH,Haguenau",HTP,HTP
270,STUTZHEIM-OFFENHEIM,"10,1","30,1",57,"80,3","98,3","126,3",155,"72,6","93,4","100,3",HTP,HTP,"CH,Haguenau"
390,SUNDHOFFEN,"49,7","69,3","11,4",30,48,"96,5","171,8","112,3","133,1",117,"CH,Colmar","CH,Colmar","CH,Mulhouse"
134,SUNDHOUSE,"46,1","65,7","36,4","58,4","76,4","109,4","174,5","108,9","129,9","119,6","CH,Colmar","CH,Colmar",HTP
405,SURBOURG,"34,6","16,2","80,7",104,122,133,"159,5",77,"97,8","104,7","CH,Haguenau",HTP,HTP
425,TAGOLSHEIM,"82,1","101,6","43,5","14,7","32,8","97,4","192,4","144,7","165,4","136,3","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
60,TAGSDORF,"87,9","107,5","49,5","20,5","37,6","103,2","198,1","150,5","171,3","142,1","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
415,THAL-DRULINGEN,"48,5","43,9","88,6",112,130,"109,7","134,1","32,9","53,6","81,3","CH,Forbach","CH,Forbach","CH,Haguenau"
155,THAL-MARMOUTIER,"31,2","31,5",64,"87,3","105,3","110,1","136,5","54,1",75,"81,6",HTP,HTP,"CH,Haguenau"
387,THANN,"78,8","98,4","33,6","20,7","28,1","74,7","169,7","141,5",151,"113,6","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
428,THANNENKIRCH,"47,4","66,9","28,2","51,6","69,6","87,1","152,1",110,"130,7","97,3","CH,Colmar","CH,Colmar",HTP
637,THANVILLE,"36,7","56,2","27,7",51,69,"88,5","153,5","99,3",120,"98,8","CH,Colmar","CH,Colmar",HTP
471,TIEFFENBACH,"55,8","51,2","99,3","122,6","140,6","117,9","144,4","47,1","67,9","89,6","CH,Forbach","CH,Forbach","CH,Haguenau"
477,TRAENHEIM,"21,2","41,9","48,2","71,6","89,6","116,5","149,5",67,"87,7","94,6",HTP,HTP,"CH,Haguenau"
452,TRAUBACH-LE-BAS,"89,7","109,2","45,4","29,7","26,7","97,3","192,3","152,3",173,"136,2","CH,Belfort","CH,Belfort","CH,Mulhouse"
